hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,trippoststratweight,dayType,mainmode,totalvehs,homelga,hhpoststratweight,weekly_hhinc_group,annual_hhinc_group
Y24H6170321,Y24H6170321P02,11,676,11,681,5.0,0.23256,Recreational,401.819814408,Weekend,Active,1.0,City,371.3046531,15,15
Y24H6170321,Y24H6170321P02,11,686,11,690,4.0,0.23256,Recreational,401.819814408,Weekend,Active,1.0,City,371.3046531,15,15
Y24H6170321,Y24H6170321P02,14,862,14,868,6.0,0.25305,Recreational,401.819814408,Weekend,Active,1.0,City,371.3046531,15,15
Y24H6170323,Y24H6170323P01,20,1230,20,1235,5.0,0.36067,Work,1227.535968179,Weekday,Active,1.0,City,625.3371355,9,9
Y24H6170323,Y24H6170323P01,21,1260,21,1265,5.0,0.36067,Work,1227.535968179,Weekday,Active,1.0,City,625.3371355,9,9
Y24H6170324,Y24H6170324P02,16,977,16,985,8.0,0.4555,Work,677.185231843,Weekday,Active,2.0,City,737.2210353,13,13
Y24H6170341,Y24H6170341P01,10,650,11,668,18.0,3.11972,Recreational,438.52612473,Weekend,Active,0.0,City,674.4226881,7,7
Y24H6170341,Y24H6170341P01,11,672,11,696,24.0,5.58604,Recreational,438.52612473,Weekend,Active,0.0,City,674.4226881,7,7
Y24H6170341,Y24H6170341P01,12,754,12,774,20.0,7.06573,Recreational,438.52612473,Weekend,Active,0.0,City,674.4226881,7,7
Y24H6170341,Y24H6170341P01,13,787,13,815,28.0,4.26944,Recreational,438.52612473,Weekend,Active,0.0,City,674.4226881,7,7
Y24H6170341,Y24H6170341P01,13,833,14,872,39.0,9.65634,Recreational,438.52612473,Weekend,Active,0.0,City,674.4226881,7,7
Y24H6170341,Y24H6170341P01,16,1011,17,1024,13.0,0.77674,Recreational,438.52612473,Weekend,Active,0.0,City,674.4226881,7,7
Y24H6170407,Y24H6170407P01,14,895,15,900,5.0,0.50644,Recreational,918.653288472,Weekend,Active,2.0,City,1494.287134,12,12
Y24H6170407,Y24H6170407P01,16,970,16,975,5.0,0.50644,Recreational,918.653288472,Weekend,Active,2.0,City,1494.287134,12,12
Y24H6170407,Y24H6170407P02,14,895,15,900,5.0,0.50644,Recreational,1214.715792794,Weekend,Active,2.0,City,1494.287134,12,12
Y24H6170407,Y24H6170407P02,16,970,16,975,5.0,0.50644,Recreational,1214.715792794,Weekend,Active,2.0,City,1494.287134,12,12
Y24H6170410,Y24H6170410P01,17,1030,17,1045,15.0,1.30811,Recreational,1086.662737994,Weekday,Active,1.0,City,929.9006728,14,14
Y24H6170413,Y24H6170413P02,15,944,16,962,18.0,0.51774,Recreational,1717.390377785,Weekend,Active,0.0,City,932.6145005,13,13
Y24H6170418,Y24H6170418P01,10,600,10,615,15.0,0.73642,Recreational,1008.506517887,Weekday,Active,0.0,City,1072.010974,2,2
Y24H6170418,Y24H6170418P01,10,620,10,635,15.0,Missing,Recreational,1008.506517887,Weekday,Active,0.0,City,1072.010974,2,2
Y24H6170418,Y24H6170418P01,13,811,13,822,11.0,0.92975,Recreational,1008.506517887,Weekday,Active,0.0,City,1072.010974,2,2
Y24H6170418,Y24H6170418P01,13,822,13,834,12.0,0.92975,Recreational,1008.506517887,Weekday,Active,0.0,City,1072.010974,2,2
Y24H6170420,Y24H6170420P02,11,660,11,670,10.0,0.67765,Recreational,1198.556324792,Weekend,Active,1.0,City,950.7351259,13,13
Y24H6170420,Y24H6170420P02,11,683,11,693,10.0,0.67754,Recreational,1198.556324792,Weekend,Active,1.0,City,950.7351259,13,13
Y24H6170427,Y24H6170427P01,12,760,12,764,4.0,0.31529,Recreational,790.245525546,Weekend,Active,1.0,City,1288.562872,14,14
Y24H6170430,Y24H6170430P01,9,540,9,560,20.0,2.01791,Other,1580.502307019,Weekday,Active,1.0,City,1253.707505,9,9
